cell_type,impact_left,impact_right,impact_both,impact_single_mean,superadditivity
SApp10,179,162,347,170.5,6
LgLG1b,31,40,75,35.5,4
ORN_DC4,21,24,49,22.5,4
SApp,324,297,624,310.5,3
LgLG3,60,59,122,59.5,3
SNxx04,58,61,122,59.5,3
LgLG1a,39,41,83,40.0,3
LB1c,42,32,77,37.0,3
ANXXX296,9,9,21,9.0,3
SNppxx,170,230,402,200.0,2
SNta21,99,106,207,102.5,2
JO-EV3,100,86,188,93.0,2
SNpp60,52,38,92,45.0,2
SApp19,51,30,83,40.5,2
PhG1c,41,33,76,37.0,2
SNpp16,32,28,62,30.0,2
GNG644,13,24,39,18.5,2
PhG7,10,11,23,10.5,2
ANXXX434,10,9,21,9.5,2
AN17A008,9,9,20,9.0,2
SLP238,8,10,20,9.0,2
SNxx01,1,14,17,7.5,2
IN14A078,6,8,16,7.0,2
INXXX381,7,7,16,7.0,2
ps2 MN,7,7,16,7.0,2
b3 MN,8,5,15,6.5,2
ANXXX462a,6,6,14,6.0,2
INXXX316,5,7,14,6.0,2
tp2 MN,6,6,14,6.0,2
IN06B035,6,5,13,5.5,2
INXXX369,5,6,13,5.5,2
IN08B040,5,4,11,4.5,2
AN05B102b,4,4,10,4.0,2
INXXX405,4,4,10,4.0,2
"DLMn a, b",2,4,8,3.0,2
IN05B021,2,4,8,3.0,2
M_l2PNm15,2,4,8,3.0,2
SNpp53,1,4,7,2.5,2
MNhl59,1,3,6,2.0,2
AN09B059,2,1,5,1.5,2
IN08B083_a,1,0,3,0.5,2
DNp20,0,0,2,0.0,2
IN10B011,0,0,2,0.0,2
INXXX204,0,0,2,0.0,2
SNta29,150,128,279,139.0,1
SApp08,107,105,213,106.0,1
SNpp40,71,79,151,75.0,1
DNx02,73,74,148,73.5,1
SNpp52,70,71,142,70.5,1
JO-ED2_b,70,62,133,66.0,1
SNpp45,66,56,123,61.0,1
SNpp30,64,54,119,59.0,1
JO-FV,51,62,114,56.5,1
SAxx01,43,70,114,56.5,1
"SNta02,SNta09",53,45,99,49.0,1
SNxx03,53,44,98,48.5,1
JO-EV5,61,35,97,48.0,1
SNta25,40,56,97,48.0,1
