order,trial,fraction_removed,flow,reachable_pairs
strongest,0,0,10647,237405
strongest,0,0.0099984,10517,237405
strongest,0,0.0199968,10265,236740
strongest,0,0.0299952,9940,235672
strongest,0,0.0399936,9667,234960
strongest,0,0.049992,9435,233892
strongest,0,0.0599904,9197,233892
strongest,0,0.0699888,8979,232824
strongest,0,0.0799872,8749,231756
strongest,0,0.0899856,8554,230750
strongest,0,0.099984,8358,228620
strongest,0,0.109982,8181,227910
strongest,0,0.119981,8023,225070
strongest,0,0.129979,7848,222230
strongest,0,0.139978,7682,220100
strongest,0,0.149976,7508,217615
strongest,0,0.159974,7350,214878
strongest,0,0.169973,7192,213462
strongest,0,0.179971,7031,212046
strongest,0,0.18997,6885,210984
strongest,0,0.199968,6695,208506
strongest,0,0.209966,6526,206736
strongest,0,0.219965,6314,203196
strongest,0,0.229963,6086,201072
strongest,0,0.239962,5872,196824
strongest,0,0.24996,5671,193992
strongest,0,0.259958,5473,190267
strongest,0,0.269957,5298,187796
strongest,0,0.279955,5101,185678
strongest,0,0.289954,4912,182854
strongest,0,0.299952,4728,180383
strongest,0,0.30995,4538,174592
strongest,0,0.319949,4361,171776
strongest,0,0.329947,4171,169312
strongest,0,0.339946,4016,167200
strongest,0,0.349944,3862,164736
strongest,0,0.359942,3712,160864
strongest,0,0.369941,3559,157344
strongest,0,0.379939,3432,154530
strongest,0,0.389938,3281,152418
strongest,0,0.399936,3139,149177
strongest,0,0.409934,3016,147071
strongest,0,0.419933,2876,143501
strongest,0,0.429931,2747,141051
strongest,0,0.43993,2639,137551
strongest,0,0.449928,2527,135801
strongest,0,0.459926,2404,133001
strongest,0,0.469925,2299,129501
strongest,0,0.479923,2174,126351
strongest,0,0.489921,2076,122854
strongest,0,0.49992,1964,121104
weakest,0,0,10647,237405
weakest,0,0.0099984,10616,237405
weakest,0,0.0199968,10558,236740
weakest,0,0.0299952,10501,236384
weakest,0,0.0399936,10438,236384
weakest,0,0.049992,10363,236384
weakest,0,0.0599904,10299,236384
weakest,0,0.0699888,10221,235056
weakest,0,0.0799872,10130,235056
weakest,0,0.0899856,10054,235056
weakest,0,0.099984,9971,235056
weakest,0,0.109982,9895,234392
weakest,0,0.119981,9822,234392
weakest,0,0.129979,9747,234392
weakest,0,0.139978,9672,234392
weakest,0,0.149976,9600,234392
weakest,0,0.159974,9519,233728
weakest,0,0.169973,9451,233728
weakest,0,0.179971,9373,233728
weakest,0,0.18997,9287,232713
weakest,0,0.199968,9207,232713
weakest,0,0.209966,9105,232713
weakest,0,0.219965,9004,232713
weakest,0,0.229963,8923,232713
weakest,0,0.239962,8838,232362
weakest,0,0.24996,8762,232362
weakest,0,0.259958,8669,232011
weakest,0,0.269957,8566,231660
weakest,0,0.279955,8460,231660
weakest,0,0.289954,8387,231660
weakest,0,0.299952,8296,231660
weakest,0,0.30995,8205,230650
weakest,0,0.319949,8096,230650
weakest,0,0.329947,7989,229991
weakest,0,0.339946,7906,229332
weakest,0,0.349944,7806,229332
weakest,0,0.359942,7734,228984
weakest,0,0.369941,7637,228984
weakest,0,0.379939,7540,228636
weakest,0,0.389938,7436,228636
weakest,0,0.399936,7351,227979
weakest,0,0.409934,7276,227979
weakest,0,0.419933,7159,227632
weakest,0,0.429931,7051,226938
weakest,0,0.43993,6956,225630
weakest,0,0.449928,6877,225630
weakest,0,0.459926,6788,225285
weakest,0,0.469925,6708,224632
weakest,0,0.479923,6597,224632
weakest,0,0.489921,6513,224288
weakest,0,0.49992,6404,224288
random,0,0,10647,237405
random,0,0.0099984,10531,237405
random,0,0.0199968,10436,237405
random,0,0.0299952,10333,237405
random,0,0.0399936,10232,237405
random,0,0.049992,10118,237405
random,0,0.0599904,10010,237405
random,0,0.0699888,9885,237405
random,0,0.0799872,9773,237405
random,0,0.0899856,9671,237405
random,0,0.099984,9541,237405
random,0,0.109982,9424,237405
random,0,0.119981,9311,237405
random,0,0.129979,9203,237405
random,0,0.139978,9090,237405
random,0,0.149976,8972,237405
random,0,0.159974,8860,237405
random,0,0.169973,8742,237405
random,0,0.179971,8623,237405
random,0,0.18997,8509,237405
random,0,0.199968,8401,237405
random,0,0.209966,8275,237405
random,0,0.219965,8150,237405
random,0,0.229963,8036,237405
random,0,0.239962,7940,237405
random,0,0.24996,7832,237405
random,0,0.259958,7720,236740
random,0,0.269957,7613,236740
random,0,0.279955,7508,236740
random,0,0.289954,7399,236740
random,0,0.299952,7293,236740
random,0,0.30995,7175,236740
random,0,0.319949,7056,236740
random,0,0.329947,6938,236740
random,0,0.339946,6837,236740
random,0,0.349944,6738,236740
random,0,0.359942,6622,236740
random,0,0.369941,6505,236740
random,0,0.379939,6402,236740
random,0,0.389938,6292,236740
random,0,0.399936,6166,236075
random,0,0.409934,6049,236075
random,0,0.419933,5934,236075
random,0,0.429931,5825,236075
random,0,0.43993,5710,236075
random,0,0.449928,5594,236075
random,0,0.459926,5479,236075
random,0,0.469925,5373,236075
random,0,0.479923,5251,236075
random,0,0.489921,5131,236075
random,0,0.49992,5023,235410
random,1,0,10647,237405
random,1,0.0099984,10535,237405
random,1,0.0199968,10414,237405
random,1,0.0299952,10293,237405
random,1,0.0399936,10183,237405
random,1,0.049992,10076,237405
random,1,0.0599904,9974,237405
random,1,0.0699888,9862,237405
random,1,0.0799872,9742,236740
random,1,0.0899856,9643,236740
random,1,0.099984,9530,236740
random,1,0.109982,9421,236740
random,1,0.119981,9309,236740
random,1,0.129979,9201,236740
random,1,0.139978,9080,236740
random,1,0.149976,8969,236075
random,1,0.159974,8837,235410
random,1,0.169973,8723,235410
random,1,0.179971,8610,235410
random,1,0.18997,8488,235410
random,1,0.199968,8378,235410
random,1,0.209966,8267,235410
random,1,0.219965,8167,235410
random,1,0.229963,8054,235410
random,1,0.239962,7938,235410
random,1,0.24996,7824,234745
random,1,0.259958,7710,234745
random,1,0.269957,7590,234745
random,1,0.279955,7491,234745
random,1,0.289954,7382,234745
random,1,0.299952,7281,234745
random,1,0.30995,7157,234745
random,1,0.319949,7044,234745
random,1,0.329947,6942,234745
random,1,0.339946,6840,234745
random,1,0.349944,6737,234745
random,1,0.359942,6627,234745
random,1,0.369941,6536,234745
random,1,0.379939,6409,234745
random,1,0.389938,6327,234745
random,1,0.399936,6227,234745
random,1,0.409934,6123,234080
random,1,0.419933,5999,234080
random,1,0.429931,5877,234080
random,1,0.43993,5768,234080
random,1,0.449928,5659,234080
random,1,0.459926,5541,234080
random,1,0.469925,5434,234080
random,1,0.479923,5326,234080
random,1,0.489921,5199,234080
random,1,0.49992,5070,232750
random,2,0,10647,237405
random,2,0.0099984,10525,237405
random,2,0.0199968,10430,237405
random,2,0.0299952,10305,237405
random,2,0.0399936,10202,236740
random,2,0.049992,10094,236740
random,2,0.0599904,9981,236740
random,2,0.0699888,9873,236740
random,2,0.0799872,9749,236740
random,2,0.0899856,9638,236740
random,2,0.099984,9518,236740
random,2,0.109982,9403,236740
random,2,0.119981,9306,236740
random,2,0.129979,9195,236740
random,2,0.139978,9056,236740
random,2,0.149976,8942,236740
random,2,0.159974,8827,236740
random,2,0.169973,8707,236740
random,2,0.179971,8597,236740
random,2,0.18997,8472,236740
random,2,0.199968,8371,236740
random,2,0.209966,8252,236740
random,2,0.219965,8158,236740
random,2,0.229963,8041,236740
random,2,0.239962,7928,236740
random,2,0.24996,7825,236740
random,2,0.259958,7721,236740
random,2,0.269957,7628,236740
random,2,0.279955,7542,236740
random,2,0.289954,7425,236740
random,2,0.299952,7312,236740
random,2,0.30995,7193,236740
random,2,0.319949,7077,236740
random,2,0.329947,6959,236740
random,2,0.339946,6834,236740
random,2,0.349944,6712,236740
random,2,0.359942,6591,236740
random,2,0.369941,6479,236075
random,2,0.379939,6377,236075
random,2,0.389938,6258,236075
random,2,0.399936,6153,236075
random,2,0.409934,6046,236075
random,2,0.419933,5933,236075
random,2,0.429931,5801,236075
random,2,0.43993,5687,235410
random,2,0.449928,5559,235410
random,2,0.459926,5450,235410
random,2,0.469925,5350,235410
random,2,0.479923,5235,234745
random,2,0.489921,5120,234745
random,2,0.49992,5008,234745
random,3,0,10647,237405
random,3,0.0099984,10527,237405
random,3,0.0199968,10413,237405
random,3,0.0299952,10316,237405
random,3,0.0399936,10200,237405
random,3,0.049992,10103,237405
random,3,0.0599904,9994,237405
random,3,0.0699888,9900,237405
random,3,0.0799872,9795,237405
random,3,0.0899856,9660,237405
random,3,0.099984,9542,236740
random,3,0.109982,9425,236740
random,3,0.119981,9324,236740
random,3,0.129979,9215,236740
random,3,0.139978,9096,236740
random,3,0.149976,8964,236740
random,3,0.159974,8846,236740
random,3,0.169973,8720,235410
random,3,0.179971,8621,235410
random,3,0.18997,8522,235410
random,3,0.199968,8420,235410
random,3,0.209966,8304,234745
random,3,0.219965,8191,234745
random,3,0.229963,8084,234745
random,3,0.239962,7979,234745
random,3,0.24996,7855,234745
random,3,0.259958,7752,234745
random,3,0.269957,7650,234745
random,3,0.279955,7546,234745
random,3,0.289954,7433,234745
random,3,0.299952,7324,234745
random,3,0.30995,7219,234745
random,3,0.319949,7102,234080
random,3,0.329947,6983,234080
random,3,0.339946,6873,234080
random,3,0.349944,6767,234080
random,3,0.359942,6645,234080
random,3,0.369941,6532,234080
random,3,0.379939,6406,234080
random,3,0.389938,6301,234080
random,3,0.399936,6190,234080
random,3,0.409934,6078,234080
random,3,0.419933,5950,234080
random,3,0.429931,5837,234080
random,3,0.43993,5724,234080
random,3,0.449928,5615,234080
random,3,0.459926,5514,234080
random,3,0.469925,5406,234080
random,3,0.479923,5294,234080
random,3,0.489921,5179,234080
random,3,0.49992,5062,234080
random,4,0,10647,237405
random,4,0.0099984,10543,237405
random,4,0.0199968,10431,237405
random,4,0.0299952,10303,237405
random,4,0.0399936,10195,237405
random,4,0.049992,10072,237405
random,4,0.0599904,9953,237405
random,4,0.0699888,9839,237405
random,4,0.0799872,9721,237405
random,4,0.0899856,9607,237405
random,4,0.099984,9476,237405
random,4,0.109982,9356,237405
random,4,0.119981,9257,237405
random,4,0.129979,9139,237405
random,4,0.139978,9033,237405
random,4,0.149976,8913,237405
random,4,0.159974,8815,237405
random,4,0.169973,8702,237405
random,4,0.179971,8610,237405
random,4,0.18997,8504,237405
random,4,0.199968,8377,237405
random,4,0.209966,8261,237405
random,4,0.219965,8152,237405
random,4,0.229963,8043,237405
random,4,0.239962,7938,237405
random,4,0.24996,7809,237405
random,4,0.259958,7714,237405
random,4,0.269957,7607,237405
random,4,0.279955,7512,237405
random,4,0.289954,7413,236740
random,4,0.299952,7301,236740
random,4,0.30995,7197,236740
random,4,0.319949,7083,236740
random,4,0.329947,6956,236740
random,4,0.339946,6852,236740
random,4,0.349944,6746,236740
random,4,0.359942,6632,236740
random,4,0.369941,6525,236740
random,4,0.379939,6422,236740
random,4,0.389938,6315,236075
random,4,0.399936,6222,235410
random,4,0.409934,6105,235410
random,4,0.419933,5977,235410
random,4,0.429931,5872,235410
random,4,0.43993,5750,235410
random,4,0.449928,5640,235410
random,4,0.459926,5533,235410
random,4,0.469925,5421,235410
random,4,0.479923,5305,235410
random,4,0.489921,5190,235410
random,4,0.49992,5075,235410
