null_index,seed,strategy,trials,auc_flow,auc_reachability,intact_flow,intact_pairs
0,20360915,random,30,0.574179,0.585969,12363,237405
0,20360915,out_strength,1,0.201466,0.353748,12363,237405
0,20360915,in_strength,1,0.593467,0.637685,12363,237405
0,20360915,betweenness,1,0.340233,0.487545,12363,237405
0,20360915,pagerank,1,0.594799,0.638688,12363,237405
0,20360915,sm_betweenness,1,0.344407,0.373624,12363,237405
1,20360916,random,30,0.575588,0.585711,12298,237405
1,20360916,out_strength,1,0.202733,0.358381,12298,237405
1,20360916,in_strength,1,0.592073,0.631096,12298,237405
1,20360916,betweenness,1,0.349151,0.503694,12298,237405
1,20360916,pagerank,1,0.588416,0.629164,12298,237405
1,20360916,sm_betweenness,1,0.337241,0.357389,12298,237405
2,20360917,random,30,0.575897,0.585153,12372,237405
2,20360917,out_strength,1,0.201468,0.356305,12372,237405
2,20360917,in_strength,1,0.593663,0.617524,12372,237405
2,20360917,betweenness,1,0.342155,0.493801,12372,237405
2,20360917,pagerank,1,0.596203,0.645846,12372,237405
2,20360917,sm_betweenness,1,0.364267,0.379519,12372,237405
3,20360918,random,30,0.574732,0.586377,12390,236740
3,20360918,out_strength,1,0.202188,0.356103,12390,236740
3,20360918,in_strength,1,0.584853,0.649015,12390,236740
3,20360918,betweenness,1,0.346411,0.499798,12390,236740
3,20360918,pagerank,1,0.598763,0.663065,12390,236740
3,20360918,sm_betweenness,1,0.327544,0.358715,12390,236740
4,20360919,random,30,0.575344,0.585564,12380,237405
4,20360919,out_strength,1,0.205723,0.360371,12380,237405
4,20360919,in_strength,1,0.597277,0.629958,12380,237405
4,20360919,betweenness,1,0.3481,0.4955,12380,237405
4,20360919,pagerank,1,0.589562,0.633885,12380,237405
4,20360919,sm_betweenness,1,0.351881,0.381247,12380,237405
5,20360920,random,30,0.575807,0.585599,12381,237405
5,20360920,out_strength,1,0.202737,0.356884,12381,237405
5,20360920,in_strength,1,0.598777,0.638351,12381,237405
5,20360920,betweenness,1,0.347938,0.510442,12381,237405
5,20360920,pagerank,1,0.579119,0.639629,12381,237405
5,20360920,sm_betweenness,1,0.356665,0.370862,12381,237405
6,20360921,random,30,0.574849,0.585625,12356,237405
6,20360921,out_strength,1,0.20376,0.356674,12356,237405
6,20360921,in_strength,1,0.603365,0.66588,12356,237405
6,20360921,betweenness,1,0.342468,0.495348,12356,237405
6,20360921,pagerank,1,0.59116,0.644801,12356,237405
6,20360921,sm_betweenness,1,0.361517,0.369753,12356,237405
7,20360922,random,30,0.574934,0.585737,12357,237405
7,20360922,out_strength,1,0.197799,0.353471,12357,237405
7,20360922,in_strength,1,0.581796,0.630859,12357,237405
7,20360922,betweenness,1,0.34362,0.501404,12357,237405
7,20360922,pagerank,1,0.603642,0.660251,12357,237405
7,20360922,sm_betweenness,1,0.349215,0.376995,12357,237405
8,20360923,random,30,0.574434,0.585749,12370,237405
8,20360923,out_strength,1,0.20193,0.359401,12370,237405
8,20360923,in_strength,1,0.602342,0.651239,12370,237405
8,20360923,betweenness,1,0.339095,0.506784,12370,237405
8,20360923,pagerank,1,0.589048,0.645276,12370,237405
8,20360923,sm_betweenness,1,0.335467,0.356549,12370,237405
9,20360924,random,30,0.575782,0.585831,12377,237405
9,20360924,out_strength,1,0.204639,0.361674,12377,237405
9,20360924,in_strength,1,0.591977,0.637237,12377,237405
9,20360924,betweenness,1,0.348616,0.498781,12377,237405
9,20360924,pagerank,1,0.58438,0.638145,12377,237405
9,20360924,sm_betweenness,1,0.3418,0.366544,12377,237405
10,20360925,random,30,0.575381,0.586336,12413,236076
10,20360925,out_strength,1,0.202841,0.358221,12413,236076
10,20360925,in_strength,1,0.559074,0.607947,12413,236076
10,20360925,betweenness,1,0.348999,0.506761,12413,236076
10,20360925,pagerank,1,0.583076,0.638077,12413,236076
10,20360925,sm_betweenness,1,0.348689,0.365743,12413,236076
11,20360926,random,30,0.57403,0.586232,12385,237405
11,20360926,out_strength,1,0.201328,0.352595,12385,237405
11,20360926,in_strength,1,0.587141,0.63372,12385,237405
11,20360926,betweenness,1,0.342984,0.498136,12385,237405
11,20360926,pagerank,1,0.58945,0.63707,12385,237405
11,20360926,sm_betweenness,1,0.361357,0.380907,12385,237405
12,20360927,random,30,0.575231,0.586197,12355,237405
12,20360927,out_strength,1,0.201549,0.356364,12355,237405
12,20360927,in_strength,1,0.597811,0.649745,12355,237405
12,20360927,betweenness,1,0.346431,0.501869,12355,237405
12,20360927,pagerank,1,0.596273,0.645765,12355,237405
12,20360927,sm_betweenness,1,0.370112,0.390227,12355,237405
13,20360928,random,30,0.57591,0.585684,12337,237405
13,20360928,out_strength,1,0.203066,0.35751,12337,237405
13,20360928,in_strength,1,0.582453,0.619792,12337,237405
13,20360928,betweenness,1,0.345814,0.504348,12337,237405
13,20360928,pagerank,1,0.598129,0.648077,12337,237405
13,20360928,sm_betweenness,1,0.349026,0.368136,12337,237405
14,20360929,random,30,0.575461,0.586154,12325,237405
14,20360929,out_strength,1,0.204967,0.361041,12325,237405
14,20360929,in_strength,1,0.585917,0.621843,12325,237405
14,20360929,betweenness,1,0.347985,0.494891,12325,237405
14,20360929,pagerank,1,0.582527,0.607783,12325,237405
14,20360929,sm_betweenness,1,0.339128,0.362772,12325,237405
15,20360930,random,30,0.57473,0.585528,12344,237405
15,20360930,out_strength,1,0.202405,0.355587,12344,237405
15,20360930,in_strength,1,0.601726,0.654495,12344,237405
15,20360930,betweenness,1,0.346194,0.503286,12344,237405
15,20360930,pagerank,1,0.584914,0.634781,12344,237405
15,20360930,sm_betweenness,1,0.361971,0.37606,12344,237405
16,20360931,random,30,0.575461,0.585785,12364,237405
16,20360931,out_strength,1,0.205598,0.360487,12364,237405
16,20360931,in_strength,1,0.596837,0.6365,12364,237405
16,20360931,betweenness,1,0.3448,0.492669,12364,237405
16,20360931,pagerank,1,0.57468,0.619401,12364,237405
16,20360931,sm_betweenness,1,0.362491,0.368858,12364,237405
17,20360932,random,30,0.575439,0.585818,12367,237405
17,20360932,out_strength,1,0.20364,0.359704,12367,237405
17,20360932,in_strength,1,0.604365,0.648808,12367,237405
17,20360932,betweenness,1,0.344946,0.502878,12367,237405
17,20360932,pagerank,1,0.589237,0.646982,12367,237405
17,20360932,sm_betweenness,1,0.347734,0.36309,12367,237405
18,20360933,random,30,0.575735,0.585598,12389,237405
18,20360933,out_strength,1,0.199942,0.358112,12389,237405
18,20360933,in_strength,1,0.590465,0.631625,12389,237405
18,20360933,betweenness,1,0.343427,0.488571,12389,237405
18,20360933,pagerank,1,0.596237,0.650164,12389,237405
18,20360933,sm_betweenness,1,0.361382,0.374223,12389,237405
19,20360934,random,30,0.575086,0.586323,12431,237405
19,20360934,out_strength,1,0.203544,0.364444,12431,237405
19,20360934,in_strength,1,0.585797,0.63397,12431,237405
19,20360934,betweenness,1,0.343843,0.508892,12431,237405
19,20360934,pagerank,1,0.585659,0.638478,12431,237405
19,20360934,sm_betweenness,1,0.32195,0.351329,12431,237405
20,20360935,random,30,0.575662,0.585861,12359,237405
20,20360935,out_strength,1,0.202295,0.355614,12359,237405
20,20360935,in_strength,1,0.581951,0.618302,12359,237405
20,20360935,betweenness,1,0.346253,0.501711,12359,237405
20,20360935,pagerank,1,0.58699,0.630142,12359,237405
20,20360935,sm_betweenness,1,0.366327,0.371141,12359,237405
21,20360936,random,30,0.575508,0.585561,12425,237405
21,20360936,out_strength,1,0.202167,0.351658,12425,237405
21,20360936,in_strength,1,0.591383,0.646448,12425,237405
21,20360936,betweenness,1,0.342534,0.491983,12425,237405
21,20360936,pagerank,1,0.585291,0.635673,12425,237405
21,20360936,sm_betweenness,1,0.363921,0.377494,12425,237405
22,20360937,random,30,0.575702,0.586013,12369,237405
22,20360937,out_strength,1,0.201944,0.350505,12369,237405
22,20360937,in_strength,1,0.603664,0.645347,12369,237405
22,20360937,betweenness,1,0.345525,0.509102,12369,237405
22,20360937,pagerank,1,0.579257,0.629134,12369,237405
22,20360937,sm_betweenness,1,0.3654,0.386874,12369,237405
23,20360938,random,30,0.574962,0.586109,12302,237405
23,20360938,out_strength,1,0.203459,0.359109,12302,237405
23,20360938,in_strength,1,0.60028,0.642813,12302,237405
23,20360938,betweenness,1,0.345607,0.497287,12302,237405
23,20360938,pagerank,1,0.589614,0.651459,12302,237405
23,20360938,sm_betweenness,1,0.356357,0.363809,12302,237405
24,20360939,random,30,0.575473,0.585774,12400,237405
24,20360939,out_strength,1,0.203855,0.361386,12400,237405
24,20360939,in_strength,1,0.594376,0.637927,12400,237405
24,20360939,betweenness,1,0.344049,0.498837,12400,237405
24,20360939,pagerank,1,0.587098,0.646851,12400,237405
24,20360939,sm_betweenness,1,0.35879,0.374261,12400,237405
25,20360940,random,30,0.575113,0.585819,12347,237405
25,20360940,out_strength,1,0.201963,0.35523,12347,237405
25,20360940,in_strength,1,0.591451,0.633834,12347,237405
25,20360940,betweenness,1,0.341299,0.48873,12347,237405
