strategy,trial,batch,fraction_removed,flow,reachable_pairs,avalanche
betweenness,0,0,0,10647,237405,
betweenness,0,1,0.0100417,10031,223728,0
betweenness,0,2,0.0199983,9688,209547,0
betweenness,0,3,0.0298698,9385,195091,0
betweenness,0,4,0.0395711,8560,180600,0
betweenness,0,5,0.0491873,7754,166067,0
betweenness,0,6,0.0587184,7145,154700,0
betweenness,0,7,0.0681644,6585,145520,1
betweenness,0,8,0.0775253,6009,134244,0
betweenness,0,9,0.0868011,5515,123950,0
betweenness,0,10,0.0959918,5029,114540,1
betweenness,0,11,0.105097,4674,106267,0
betweenness,0,12,0.114118,4254,98072,0
betweenness,0,13,0.123053,3956,92541,0
betweenness,0,14,0.131904,3701,87725,1
betweenness,0,15,0.140669,3534,84197,0
betweenness,0,16,0.149264,3390,81793,1
betweenness,0,17,0.157774,3275,56832,0
betweenness,0,18,0.166199,3183,56110,1
betweenness,0,19,0.174538,3107,55443,1
betweenness,0,20,0.182793,2984,53451,1
betweenness,0,21,0.191048,2858,50840,0
betweenness,0,22,0.199217,2755,49810,0
betweenness,0,23,0.207302,2676,49344,4
betweenness,0,24,0.215301,2590,46470,12
betweenness,0,25,0.223215,2455,43915,3
betweenness,0,26,0.231044,2338,36648,4
betweenness,0,27,0.238788,2305,36520,1
betweenness,0,28,0.246447,2256,35382,0
betweenness,0,29,0.254021,2241,35067,0
betweenness,0,30,0.26151,2197,33453,1
betweenness,0,31,0.268913,2193,26100,0
betweenness,0,32,0.276232,2191,26100,2
betweenness,0,33,0.28355,2186,26073,1
betweenness,0,34,0.290784,2170,25937,0
betweenness,0,35,0.297932,2166,25776,1
betweenness,0,36,0.304995,2153,25245,0
betweenness,0,37,0.311973,2144,25188,2
betweenness,0,38,0.318866,2132,25188,0
betweenness,0,39,0.32576,2130,25131,0
betweenness,0,40,0.332567,2129,25017,0
betweenness,0,41,0.33929,2129,25017,0
betweenness,0,42,0.345928,2129,25017,0
betweenness,0,43,0.352481,2128,24949,0
betweenness,0,44,0.359033,2058,24422,5
betweenness,0,45,0.365501,1987,24420,0
betweenness,0,46,0.371883,1951,24205,4
betweenness,0,47,0.378181,1909,22598,1
betweenness,0,48,0.384478,1879,22121,5
betweenness,0,49,0.39069,1829,21940,1
betweenness,0,50,0.396817,1767,21736,3
betweenness,0,51,0.402859,1715,21532,6
betweenness,0,52,0.408901,1626,20311,5
betweenness,0,53,0.414858,1557,19056,17
betweenness,0,54,0.42073,1479,19001,4
betweenness,0,55,0.426602,1399,17799,6
betweenness,0,56,0.432389,1326,17449,3
betweenness,0,57,0.43809,1226,16049,1
betweenness,0,58,0.443792,1132,15075,3
betweenness,0,59,0.449409,1054,14731,10
betweenness,0,60,0.45494,1004,13227,10
betweenness,0,61,0.460471,935,13130,10
betweenness,0,62,0.465918,933,12993,2
betweenness,0,63,0.471279,908,12134,17
betweenness,0,64,0.47664,901,12111,6
betweenness,0,65,0.481916,895,11625,15
betweenness,0,66,0.487107,885,11196,19
betweenness,0,67,0.492299,878,11109,112
betweenness,0,68,0.497404,871,10947,182
betweenness,0,69,0.50251,850,10292,38
sm_betweenness,0,0,0,10647,237405,
sm_betweenness,0,1,0.0100417,9789,228620,0
sm_betweenness,0,2,0.0199983,8409,218892,0
sm_betweenness,0,3,0.0298698,7756,207468,0
sm_betweenness,0,4,0.0395711,7386,196803,0
sm_betweenness,0,5,0.0491873,7030,187044,0
sm_betweenness,0,6,0.0587184,6700,181204,0
sm_betweenness,0,7,0.0681644,6313,171920,0
sm_betweenness,0,8,0.0775253,5949,167015,0
sm_betweenness,0,9,0.0868011,5617,160046,0
sm_betweenness,0,10,0.0959918,5326,154120,0
sm_betweenness,0,11,0.105097,5101,149868,0
sm_betweenness,0,12,0.114118,4910,143144,0
sm_betweenness,0,13,0.123053,4754,125938,0
sm_betweenness,0,14,0.131904,4417,113500,0
sm_betweenness,0,15,0.140669,4103,103750,1
sm_betweenness,0,16,0.149264,3785,93363,10
sm_betweenness,0,17,0.157774,3484,89792,1
sm_betweenness,0,18,0.166199,3212,81043,1
sm_betweenness,0,19,0.174538,2837,78344,1
sm_betweenness,0,20,0.182793,2717,73131,1
sm_betweenness,0,21,0.191048,2585,69834,1
sm_betweenness,0,22,0.199217,2452,37671,2
sm_betweenness,0,23,0.207302,2167,33993,0
sm_betweenness,0,24,0.215301,1916,31054,0
sm_betweenness,0,25,0.223215,1706,25534,3
sm_betweenness,0,26,0.231044,1611,18483,0
sm_betweenness,0,27,0.238788,1446,14381,1
sm_betweenness,0,28,0.246447,1334,11290,4
sm_betweenness,0,29,0.254021,1104,7933,12
sm_betweenness,0,30,0.26151,956,5680,2
sm_betweenness,0,31,0.268913,863,4835,3
sm_betweenness,0,32,0.276232,775,3586,8
sm_betweenness,0,33,0.28355,706,2781,0
sm_betweenness,0,34,0.290784,632,1999,8
sm_betweenness,0,35,0.297932,426,1557,6
sm_betweenness,0,36,0.304995,356,1240,4
sm_betweenness,0,37,0.311973,273,756,6046
sm_betweenness,0,38,0.318866,219,539,82
sm_betweenness,0,39,0.32576,179,474,43
sm_betweenness,0,40,0.332567,159,263,35
sm_betweenness,0,41,0.33929,104,130,124
sm_betweenness,0,42,0.345928,54,73,168
sm_betweenness,0,43,0.352481,30,30,311
sm_betweenness,0,44,0.359033,28,27,2
sm_betweenness,0,45,0.365501,28,27,1
sm_betweenness,0,46,0.371883,28,27,1
sm_betweenness,0,47,0.378181,28,27,2
sm_betweenness,0,48,0.384478,28,27,1
sm_betweenness,0,49,0.39069,28,27,3
sm_betweenness,0,50,0.396817,28,27,0
sm_betweenness,0,51,0.402859,28,27,3
sm_betweenness,0,52,0.408901,28,27,0
sm_betweenness,0,53,0.414858,28,27,0
sm_betweenness,0,54,0.42073,26,25,2
sm_betweenness,0,55,0.426602,25,24,0
sm_betweenness,0,56,0.432389,25,24,0
sm_betweenness,0,57,0.43809,25,24,1
sm_betweenness,0,58,0.443792,23,22,1
sm_betweenness,0,59,0.449409,23,22,0
sm_betweenness,0,60,0.45494,23,22,7
sm_betweenness,0,61,0.460471,23,22,0
sm_betweenness,0,62,0.465918,23,22,0
sm_betweenness,0,63,0.471279,23,22,4
sm_betweenness,0,64,0.47664,23,22,4
sm_betweenness,0,65,0.481916,22,21,2
sm_betweenness,0,66,0.487107,22,21,0
sm_betweenness,0,67,0.492299,22,21,6
