neuropil,intact_flow,n_types,n_sensory,n_motor,flow_after,flow_drop,random_mean,random_sd,excess_over_random,p_value
GNG,10647,1237,79,294,6952,0.34705,0.2055,0.020278,0.14154,0.0049751
LegNp(T3)(R),10647,389,27,10,9008,0.15394,0.067149,0.013066,0.086791,0.0049751
ANm,10647,584,28,77,9435,0.11383,0.099856,0.016219,0.013979,0.21393
SAD,10647,319,34,33,9521,0.10576,0.05549,0.010802,0.050267,0.0049751
LegNp(T2)(L),10647,456,7,10,9594,0.098901,0.077589,0.01316,0.021313,0.069652
LegNp(T2)(R),10647,131,16,8,9603,0.098056,0.021862,0.006801,0.076194,0.0049751
Ov(L),10647,115,24,1,9663,0.09242,0.020391,0.0067457,0.07203,0.0049751
AL(R),10647,226,50,1,9695,0.089415,0.0382,0.0097984,0.051215,0.0049751
LegNp(T3)(L),10647,366,11,8,9814,0.078238,0.062684,0.012634,0.015554,0.12935
IntTct,10647,234,8,11,9837,0.076078,0.040839,0.010263,0.035239,0.014925
WTct(UTct-T2)(L),10647,199,15,16,10080,0.053254,0.034531,0.0094607,0.018723,0.054726
LegNp(T1)(L),10647,377,9,8,10179,0.043956,0.064281,0.01124,-0.020325,0.99005
AL(L),10647,89,11,1,10238,0.038415,0.015169,0.0055834,0.023246,0.0049751
LTct,10647,302,5,15,10272,0.035221,0.05221,0.01174,-0.016989,0.98507
PRW,10647,116,7,5,10371,0.025923,0.020422,0.0075696,0.0055006,0.16915
HTct(UTct-T3)(L),10647,86,0,3,10421,0.021227,0.015364,0.0071768,0.0058622,0.12935
WTct(UTct-T2)(R),10647,94,6,7,10440,0.019442,0.017005,0.0074039,0.0024373,0.26368
mVAC(T2)(R),10647,16,1,0,10490,0.014746,0.0029074,0.0027632,0.011839,0.0099502
HTct(UTct-T3)(R),10647,60,1,0,10496,0.014182,0.010673,0.0049841,0.003509,0.16915
Ov(R),10647,20,3,0,10507,0.013149,0.0031746,0.0019908,0.0099746,0.0049751
mVAC(T2)(L),10647,18,4,0,10517,0.01221,0.0029276,0.0023422,0.0092824,0.024876
mVAC(T3)(R),10647,14,2,0,10540,0.01005,0.0023316,0.0026388,0.0077181,0.0199
WED(R),10647,155,0,2,10558,0.0083592,0.027361,0.0081379,-0.019002,1
SLP(R),10647,478,0,3,10563,0.0078895,0.08284,0.014159,-0.07495,1
ME(R),10647,229,7,0,10566,0.0076078,0.03901,0.0090707,-0.031402,1
AVLP(R),10647,691,0,11,10566,0.0076078,0.11706,0.016935,-0.10945,1
