cell_type,flow,flow_drop,reachable_pairs,pairs_lost,intact_flow,intact_reachable_pairs
SApp,10337,310,236740,665,10647,237405
SNppxx,10431,216,236740,665,10647,237405
SApp10,10481,166,236740,665,10647,237405
"SApp09,SApp22",10483,164,236740,665,10647,237405
SNta29,10492,155,236740,665,10647,237405
SNxx33,10531,116,236740,665,10647,237405
SApp08,10535,112,236740,665,10647,237405
SNta37,10540,107,236740,665,10647,237405
SNta21,10544,103,236740,665,10647,237405
"SApp06,SApp15",10550,97,236740,665,10647,237405
SNpp19,10550,97,236740,665,10647,237405
BM_Taste,10555,92,236740,665,10647,237405
JO-EV3,10556,91,236740,665,10647,237405
SNpp52,10562,85,236740,665,10647,237405
SNta38,10562,85,236740,665,10647,237405
BM,10563,84,236740,665,10647,237405
JO-EV1,10563,84,236740,665,10647,237405
SNta20,10565,82,236740,665,10647,237405
JO-CM,10571,76,236740,665,10647,237405
SNpp30,10572,75,236740,665,10647,237405
BM_InOm,10575,72,236740,665,10647,237405
SNpp40,10575,72,236740,665,10647,237405
DNx02,10579,68,236740,665,10647,237405
LgLG3,10582,65,236740,665,10647,237405
JO-ED2_b,10583,64,236740,665,10647,237405
SNpp45,10583,64,236740,665,10647,237405
JO-EV6,10585,62,236740,665,10647,237405
SNpp50,10588,59,236740,665,10647,237405
JO-ED2_a,10591,56,236740,665,10647,237405
SApp04,10591,56,236740,665,10647,237405
SNch01,10591,56,236740,665,10647,237405
SNpp39,10591,56,236740,665,10647,237405
JO-FV,10592,55,236740,665,10647,237405
JO-EV5,10593,54,236740,665,10647,237405
SNta30,10594,53,236740,665,10647,237405
SNta25,10595,52,236740,665,10647,237405
SAxx02,10596,51,236740,665,10647,237405
SNxx03,10596,51,236740,665,10647,237405
SApp19,10597,50,236740,665,10647,237405
SNta04,10597,50,236740,665,10647,237405
SNxx04,10597,50,236740,665,10647,237405
SNxx23,10597,50,236740,665,10647,237405
"SNta11,SNta14",10598,49,236740,665,10647,237405
SNta42,10598,49,236740,665,10647,237405
SAxx01,10600,47,236740,665,10647,237405
SNpp51,10600,47,236740,665,10647,237405
SNta11,10600,47,236740,665,10647,237405
SNxx29,10600,47,236740,665,10647,237405
JO-mz,10601,46,236740,665,10647,237405
SNta03,10601,46,236740,665,10647,237405
SNta28,10601,46,236740,665,10647,237405
aPhM2a,10601,46,236740,665,10647,237405
LgAG1,10603,44,236740,665,10647,237405
SNpp60,10603,44,236740,665,10647,237405
SNxx20,10603,44,236740,665,10647,237405
"SNta02,SNta09",10604,43,236740,665,10647,237405
JO-EV2,10605,42,236740,665,10647,237405
SNpp32,10605,42,236740,665,10647,237405
LgLG1a,10606,41,236740,665,10647,237405
SNpp43,10606,41,236740,665,10647,237405
SNxx15,10607,40,236740,665,10647,237405
TPMN1,10607,40,236740,665,10647,237405
JO-ED2_c,10608,39,236740,665,10647,237405
LgLG1b,10608,39,236740,665,10647,237405
SNpp33,10608,39,236740,665,10647,237405
SNpp47,10608,39,236740,665,10647,237405
SNta43,10608,39,236740,665,10647,237405
SNxx25,10609,38,236740,665,10647,237405
claw_tpGRN,10610,37,236740,665,10647,237405
JO-A2,10611,36,236740,665,10647,237405
SNch10,10611,36,236740,665,10647,237405
SNpp16,10611,36,236740,665,10647,237405
SNta18,10611,36,236740,665,10647,237405
SNxx14,10611,36,236740,665,10647,237405
ORN_DP1m,10612,35,236740,665,10647,237405
"SApp11,SApp18",10612,35,236740,665,10647,237405
BM_Vib,10613,34,236740,665,10647,237405
ORN_DA1,10613,34,236740,665,10647,237405
ORN_VL2a,10613,34,236740,665,10647,237405
PhG1c,10613,34,236740,665,10647,237405
SNta31,10614,33,236740,665,10647,237405
WG3,10614,33,236740,665,10647,237405
SApp14,10615,32,236740,665,10647,237405
SNpp07,10615,32,236740,665,10647,237405
SNxx07,10615,32,236740,665,10647,237405
aPhM3,10615,32,236740,665,10647,237405
HRN_VP1d,10616,31,236740,665,10647,237405
HRN_VP4,10616,31,236740,665,10647,237405
JO-ED1,10616,31,236740,665,10647,237405
SApp13,10616,31,236740,665,10647,237405
lLN2T_b,10616,31,237405,0,10647,237405
JO-CL,10617,30,236740,665,10647,237405
SNpp23,10617,30,236740,665,10647,237405
SNpp41,10617,30,236740,665,10647,237405
LB1c,10618,29,236740,665,10647,237405
ORN_DC4,10618,29,236740,665,10647,237405
"SNpp29,SNpp63",10618,29,236740,665,10647,237405
"SNta04,SNta11",10618,29,236740,665,10647,237405
SNxx11,10618,29,236740,665,10647,237405
SNxxxx,10618,29,236740,665,10647,237405
aPhM5,10618,29,236740,665,10647,237405
ENS2,10619,28,236740,665,10647,237405
ENS4,10619,28,236740,665,10647,237405
ORN_DP1l,10619,28,236740,665,10647,237405
ORN_VA6,10619,28,236740,665,10647,237405
SNta14,10619,28,236740,665,10647,237405
SNta26,10619,28,236740,665,10647,237405
BM_Hau,10620,27,236740,665,10647,237405
GNG643,10620,27,236740,665,10647,237405
JO-B4_b,10620,27,236740,665,10647,237405
LB3d,10620,27,236740,665,10647,237405
ORN_VL2p,10620,27,236740,665,10647,237405
SApp23,10620,27,236740,665,10647,237405
SNta33,10620,27,236740,665,10647,237405
SNta34,10620,27,236740,665,10647,237405
SNxx02,10620,27,236740,665,10647,237405
ORN_DM1,10621,26,236740,665,10647,237405
SApp01,10621,26,236740,665,10647,237405
SNpp10,10621,26,236740,665,10647,237405
TPMN2,10621,26,236740,665,10647,237405
il3LN6,10621,26,237405,0,10647,237405
LB3c,10622,25,236740,665,10647,237405
ORN_VA2,10622,25,236740,665,10647,237405
SNxx26,10622,25,236740,665,10647,237405
lLN2F_b,10622,25,237405,0,10647,237405
lLN2X02,10622,25,237405,0,10647,237405
SNpp02,10623,24,236740,665,10647,237405
SNta07,10623,24,236740,665,10647,237405
SNta27,10623,24,236740,665,10647,237405
TRN_VP1m,10623,24,236740,665,10647,237405
ORN_D,10624,23,236740,665,10647,237405
WG4,10624,23,236740,665,10647,237405
BM_Vt_PoOc,10625,22,236740,665,10647,237405
JO-B3,10625,22,236740,665,10647,237405
ORN_DC1,10625,22,236740,665,10647,237405
PhG9,10625,22,236740,665,10647,237405
SNpp58,10625,22,236740,665,10647,237405
SNpp62,10625,22,236740,665,10647,237405
SNxx19,10625,22,236740,665,10647,237405
SNxx21,10625,22,236740,665,10647,237405
aPhM1,10625,22,236740,665,10647,237405
AN01B002,10625,22,237405,0,10647,237405
AN09B009,10625,22,237405,0,10647,237405
lLN2F_a,10625,22,237405,0,10647,237405
JO-A3,10626,21,236740,665,10647,237405
ORN_DL2v,10626,21,236740,665,10647,237405
ORN_VM6v,10626,21,236740,665,10647,237405
SNta05,10626,21,236740,665,10647,237405
SNta23,10626,21,236740,665,10647,237405
SNxx17,10626,21,236740,665,10647,237405
AN05B009,10626,21,237405,0,10647,237405
IN05B001,10626,21,237405,0,10647,237405
BM_vOcci_vPoOr,10627,20,236740,665,10647,237405
GNG644,10627,20,236740,665,10647,237405
LB1e,10627,20,236740,665,10647,237405
LgAG3,10627,20,236740,665,10647,237405
ORN_DL5,10627,20,236740,665,10647,237405
PhG1b,10627,20,236740,665,10647,237405
SNxx08,10627,20,236740,665,10647,237405
SNxx30,10627,20,236740,665,10647,237405
WG2,10627,20,236740,665,10647,237405
