superclass,types,neurons,flow_after,flow_drop,random_mean,excess_over_random,p_value
descending_neuron,480,1310,3577,0.66404,0.081791,0.58225,0.0049751
vnc_sensory,169,5598,5309,0.50136,0.029004,0.47236,0.0049751
cb_intrinsic,6605,31280,5397,0.4931,0.82429,-0.33119,1
vnc_intrinsic,2777,12943,5642,0.47009,0.42948,0.040609,0.039801
ascending_neuron,563,1865,6948,0.34742,0.097371,0.25005,0.0049751
cb_sensory,158,4756,7183,0.32535,0.027495,0.29786,0.0049751
vnc_motor,142,699,8875,0.16643,0.023899,0.14253,0.0049751
sensory_ascending,26,536,9196,0.13628,0.0044149,0.13187,0.0049751
ol_intrinsic,271,89358,10580,0.0062929,0.047324,-0.041031,1
cb_motor,43,106,10600,0.0044144,0.0070691,-0.0026547,0.77612
visual_projection,346,9202,10608,0.003663,0.059326,-0.055663,1
visual_centrifugal,108,562,10638,0.00084531,0.018496,-0.017651,1
vnc_efferent,27,78,10646,9.3923e-05,0.0043543,-0.0042604,1
