type_a,type_b,impact_a,impact_b,flow_after,joint_impact,synergy
SNppxx,SNta29,216,155,10264,383,12
SNppxx,SNta37,216,107,10315,332,9
SNppxx,SNpp52,216,85,10337,310,9
SNta29,SNta20,155,82,10401,246,9
SNppxx,SNta38,216,85,10338,309,8
SNta29,SNta37,155,107,10377,270,8
SNta29,SNta30,155,53,10431,216,8
SNppxx,SNta20,216,82,10342,305,7
SNppxx,SNpp51,216,47,10377,270,7
SApp,SApp10,310,166,10165,482,6
SNppxx,SNxx33,216,116,10309,338,6
SNppxx,SNpp45,216,64,10361,286,6
SNpp50,SNta29,59,155,10427,220,6
SNta37,SNta20,107,82,10452,195,6
SApp,"SApp06,SApp15",310,97,10235,412,5
SApp,SNpp35,310,19,10313,334,5
SNppxx,SNta21,216,103,10323,324,5
SApp08,SApp10,112,166,10364,283,5
SNppxx,SNpp50,216,59,10367,280,5
SNxx33,SNta29,116,155,10371,276,5
SNppxx,SNta30,216,53,10373,274,5
SNppxx,SNta25,216,52,10374,273,5
SNppxx,SNta28,216,46,10380,267,5
SNpp45,SNta29,64,155,10423,224,5
SNta29,SNta28,155,46,10441,206,5
SNta38,SNta37,85,107,10450,197,5
SApp10,SNpp35,166,19,10457,190,5
SNta30,SNta37,53,107,10482,165,5
SNpp45,SNpp52,64,85,10493,154,5
SNpp50,SNta20,59,82,10501,146,5
SNpp30,SNpp17,75,17,10550,97,5
SApp,SApp08,310,112,10221,426,4
SApp10,"SApp06,SApp15",166,97,10380,267,4
SNta29,SNta38,155,85,10403,244,4
SNxx33,SNta21,116,103,10424,223,4
SNxx33,SNta38,116,85,10442,205,4
SApp10,SNpp07,166,32,10445,202,4
SNpp52,SNta37,85,107,10451,196,4
SNpp52,SNta20,85,82,10476,171,4
SNxx33,SNta28,116,46,10481,166,4
SNta25,SNta37,52,107,10484,163,4
SNta37,SNta28,107,46,10490,157,4
SNta38,SNta25,85,52,10506,141,4
SNta30,SNta20,53,82,10508,139,4
SNpp52,SNpp51,85,47,10511,136,4
SNpp30,"SNpp29,SNpp63",75,29,10539,108,4
SNta30,SNta28,53,46,10544,103,4
SNpp30,DNx01,75,18,10550,97,4
SNta04,"SNta04,SNta11",50,29,10564,83,4
PhG4,dorsal_tpGRN,14,16,10613,34,4
SApp,"SApp09,SApp22",310,164,10170,477,3
SApp,SApp19,310,50,10284,363,3
SApp,SApp14,310,32,10302,345,3
SApp,SNpp07,310,32,10302,345,3
SApp,SApp13,310,31,10303,344,3
SNppxx,SNta04,216,50,10378,269,3
SNppxx,SNta11,216,47,10381,266,3
SNta21,SNta29,103,155,10386,261,3
SNppxx,"SNta04,SNta11",216,29,10399,248,3
SNta29,SNpp52,155,85,10404,243,3
SNxx33,SNta37,116,107,10421,226,3
SApp10,SApp04,166,56,10422,225,3
SApp10,SApp19,166,50,10428,219,3
SNta29,SNta25,155,52,10437,210,3
SNta29,SNpp51,155,47,10442,205,3
SApp10,SApp13,166,31,10447,200,3
"SApp09,SApp22",SApp14,164,32,10448,199,3
SNta21,SNta38,103,85,10456,191,3
SNta29,SNta26,155,28,10461,186,3
SNxx33,SNta30,116,53,10475,172,3
BM,BM_InOm,84,72,10488,159,3
SNpp50,SNta38,59,85,10500,147,3
SNta38,SNta30,85,53,10506,141,3
SNta04,SNpp52,50,85,10509,138,3
SNta37,SNta26,107,28,10509,138,3
"SNta11,SNta14",SNpp52,49,85,10510,137,3
SNpp52,SNta11,85,47,10512,135,3
SApp08,SNpp35,112,19,10513,134,3
SNta38,SNta28,85,46,10513,134,3
"SApp06,SApp15",SApp14,97,32,10515,132,3
"SApp06,SApp15",SNpp07,97,32,10515,132,3
SNta20,SNta28,82,46,10516,131,3
"SApp06,SApp15",SNpp35,97,19,10528,119,3
SNpp52,"SNta04,SNta11",85,29,10530,117,3
SNta38,SNta26,85,28,10531,116,3
SNpp50,SNpp51,59,47,10538,109,3
SNpp30,SNpp02,75,24,10545,102,3
SNta04,SNta11,50,47,10547,100,3
SNta11,"SNta04,SNta11",47,29,10568,79,3
SNta26,SNta28,28,46,10570,77,3
"SApp11,SApp18",SApp14,35,32,10577,70,3
SApp14,SNpp07,32,32,10580,67,3
SNpp35,SNpp07,19,32,10593,54,3
PhG1c,dorsal_tpGRN,34,16,10594,53,3
PhG1c,PhG4,34,14,10596,51,3
SApp,SApp04,310,56,10279,368,2
SApp,"SApp11,SApp18",310,35,10300,347,2
SApp,SApp01,310,26,10309,338,2
SNpp39,SNppxx,56,216,10373,274,2
"SNta11,SNta14",SNppxx,49,216,10380,267,2
"SApp09,SApp22","SApp06,SApp15",164,97,10384,263,2
SNppxx,SNta26,216,28,10401,246,2
SNpp39,SNta29,56,155,10434,213,2
SNta21,SNta37,103,107,10435,212,2
SApp08,"SApp06,SApp15",112,97,10436,211,2
SApp10,"SApp11,SApp18",166,35,10444,203,2
SApp10,SApp14,166,32,10447,200,2
SNxx33,SNta20,116,82,10447,200,2
"SApp09,SApp22",SNpp07,164,32,10449,198,2
SApp10,SApp01,166,26,10453,194,2
SNpp19,SNpp52,97,85,10463,184,2
SNpp45,SNta37,64,107,10474,173,2
SApp08,SApp04,112,56,10477,170,2
SNta38,SNta20,85,82,10478,169,2
SNpp50,SNta37,59,107,10479,168,2
BM_Taste,BM_InOm,92,72,10481,166,2
JO-EV1,JO-CM,84,76,10485,162,2
SNpp30,SNpp52,75,85,10485,162,2
SNta04,SNta37,50,107,10488,159,2
SNta21,SNta30,103,53,10489,158,2
SNta21,SNta25,103,52,10490,157,2
SNta11,SNta37,47,107,10491,156,2
SNpp45,SNta38,64,85,10496,151,2
SNpp40,SNpp30,72,75,10498,149,2
JO-EV1,JO-EV6,84,62,10499,148,2
SNpp45,SNta20,64,82,10499,148,2
SApp08,SNpp07,112,32,10501,146,2
SNxx33,SNta26,116,28,10501,146,2
JO-EV1,JO-ED2_a,84,56,10505,142,2
JO-EV6,JO-CM,62,76,10507,140,2
SNta37,"SNta04,SNta11",107,29,10509,138,2
JO-ED2_a,JO-CM,56,76,10513,134,2
"SApp06,SApp15","SApp11,SApp18",97,35,10513,134,2
SNta38,SNpp51,85,47,10513,134,2
