cell_type,in_degree,out_degree,degree,out_strength,in_strength,pagerank,sm_betweenness,flow,flow_drop,reachable_pairs,pairs_lost,intact_flow,intact_reachable_pairs,impact_per_edge
SNxx07,4,34,38,14667,4767,0.000112814,0.652803,10615,32,236740,665,10647,237405,0.842105
SApp,13,371,384,68913,14931,0.000139514,591.5,10337,310,236740,665,10647,237405,0.807292
JO-EV3,11,102,113,29073,4089,7.33494e-05,158.686,10556,91,236740,665,10647,237405,0.80531
SNxx08,5,20,25,4302,691,2.91711e-05,42.5429,10627,20,236740,665,10647,237405,0.8
TPMN1,4,46,50,19243,2106,4.70589e-05,22.9291,10607,40,236740,665,10647,237405,0.8
BM_Taste,12,104,116,35562,7431,0.000160562,756.022,10555,92,236740,665,10647,237405,0.793103
"SApp09,SApp22",15,192,207,28707,10721,0.000146063,108.062,10483,164,236740,665,10647,237405,0.792271
DNx02,13,73,86,7314,266,1.94837e-05,101.256,10579,68,236740,665,10647,237405,0.790698
R7_unclear,3,16,19,42650,31461,2.90199e-05,0.587063,10632,15,236740,665,10647,237405,0.789474
SApp08,12,133,145,16221,5038,5.52917e-05,117.028,10535,112,236740,665,10647,237405,0.772414
SNpp19,5,122,127,22907,2145,3.47737e-05,14.1535,10550,97,236740,665,10647,237405,0.76378
aPhM5,5,33,38,5046,938,2.45128e-05,36.3567,10618,29,236740,665,10647,237405,0.763158
SNxx23,9,57,66,13665,3244,4.06047e-05,21.811,10597,50,236740,665,10647,237405,0.757576
JO-EV1,13,99,112,26622,5465,0.000106232,49.7124,10563,84,236740,665,10647,237405,0.75
JO-EV5,13,59,72,12747,2658,5.36071e-05,30.6552,10593,54,236740,665,10647,237405,0.75
JO-ED2_a,11,64,75,13585,3141,6.93288e-05,68.0265,10591,56,236740,665,10647,237405,0.746667
SApp10,17,206,223,33768,2609,8.13669e-05,780.214,10481,166,236740,665,10647,237405,0.744395
TPMN2,8,27,35,10222,1010,3.03497e-05,9.18449,10621,26,236740,665,10647,237405,0.742857
"SApp06,SApp15",11,121,132,14835,6507,8.14759e-05,40.4517,10550,97,236740,665,10647,237405,0.734848
R7y,2,13,15,55187,40062,3.07536e-05,0.153891,10636,11,236740,665,10647,237405,0.733333
R7p,3,12,15,42173,29249,2.82729e-05,0,10636,11,236740,665,10647,237405,0.733333
JO-FV,13,63,76,13887,1829,3.61656e-05,595.43,10592,55,236740,665,10647,237405,0.723684
R7d,3,15,18,13457,8443,2.4408e-05,8.69947,10634,13,236740,665,10647,237405,0.722222
LgLG6,5,13,18,6765,1687,3.82104e-05,6.27233,10634,13,236740,665,10647,237405,0.722222
LgLG1a,4,53,57,63417,15445,5.33382e-05,28.6309,10606,41,236740,665,10647,237405,0.719298
aPhM3,7,38,45,7081,1058,3.18315e-05,7.96447,10615,32,236740,665,10647,237405,0.711111
SNpp39,8,71,79,13451,4855,0.000247435,24.6629,10591,56,236740,665,10647,237405,0.708861
JO-A2,11,40,51,7859,1228,3.73228e-05,19.6438,10611,36,236740,665,10647,237405,0.705882
JO-EV6,17,71,88,7525,1319,3.40327e-05,104.393,10585,62,236740,665,10647,237405,0.704545
aPhM4,6,21,27,5930,793,2.14749e-05,1.65011,10628,19,236740,665,10647,237405,0.703704
BM,10,110,120,46661,5456,5.42942e-05,1165.98,10563,84,236740,665,10647,237405,0.7
JO-EV2,14,46,60,17679,3932,7.07525e-05,70.289,10605,42,236740,665,10647,237405,0.7
SNxx20,11,52,63,17071,943,2.29427e-05,329.325,10603,44,236740,665,10647,237405,0.698413
LgAG1,2,61,63,18790,1969,2.77055e-05,67.8974,10603,44,236740,665,10647,237405,0.698413
