cell_type,superclass,compartment,anchor,x,y,removed_random,silenced_random,removed_out_strength,silenced_out_strength,removed_in_strength,silenced_in_strength,removed_betweenness,silenced_betweenness,removed_pagerank,silenced_pagerank,removed_sm_betweenness,silenced_sm_betweenness
5-HTPLP01,cb_intrinsic,brain,AVLP(R),685.5,233.5,7,-1,9,-1,15,-1,21,-1,-1,-1,-1,37
5-HTPMPD01,cb_intrinsic,brain,SLP(L),584.7,57.0,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,37
5-HTPMPV01,cb_intrinsic,brain,PLP(R),684.0,198.3,-1,-1,54,-1,11,-1,-1,-1,-1,-1,-1,37
5-HTPMPV03,visual_centrifugal,brain,ME(R),471.9,250.4,15,-1,53,-1,6,-1,1,-1,-1,-1,-1,37
5thsLNv_LNd6,visual_projection,brain,SMP(L),710.0,116.8,36,-1,30,-1,11,-1,19,-1,62,-1,-1,37
ADNM1 MN,vnc_motor,vnc,IntTct,524.0,755.1,-1,-1,-1,-1,10,-1,-1,-1,7,-1,60,37
ADNM2 MN,vnc_motor,vnc,NTct(UTct-T1)(L),586.7,747.1,-1,-1,-1,-1,55,-1,-1,-1,9,-1,47,37
AL-AST1,cb_intrinsic,brain,AL(R),404.1,206.6,49,-1,10,-1,4,-1,3,-1,-1,-1,1,-1
AL-MBDL1,cb_intrinsic,brain,AL(L),564.7,116.3,-1,-1,-1,63,-1,-1,2,-1,57,-1,-1,43
ALBN1,cb_intrinsic,brain,AL(R),424.3,241.7,22,-1,35,-1,5,-1,31,-1,-1,-1,3,-1
ALIN1,cb_intrinsic,brain,AL(R),580.7,111.7,29,-1,14,-1,18,-1,2,-1,-1,-1,14,-1
ALIN2,cb_intrinsic,brain,SAD,583.6,354.6,4,-1,17,-1,14,-1,2,-1,35,-1,3,-1
ALIN3,cb_intrinsic,brain,AL(R),297.2,125.1,-1,-1,40,-1,51,-1,3,-1,-1,-1,33,-1
ALIN4,cb_intrinsic,brain,GNG,598.2,203.4,6,-1,-1,68,20,-1,2,-1,-1,-1,11,-1
ALIN5,cb_intrinsic,brain,AL(R),472.9,244.3,23,-1,9,-1,43,-1,1,-1,-1,-1,7,-1
ALIN6,cb_intrinsic,brain,SAD,425.8,248.3,-1,-1,54,-1,-1,-1,2,-1,-1,-1,-1,-1
ALIN7,cb_intrinsic,brain,AL(R),652.4,335.5,-1,-1,-1,-1,22,-1,1,-1,-1,-1,1,-1
ALIN8,cb_intrinsic,brain,GNG,507.5,440.6,10,-1,-1,-1,-1,-1,3,-1,-1,-1,12,-1
ALON1,cb_intrinsic,brain,GNG,580.6,191.8,-1,-1,43,-1,-1,-1,11,-1,68,-1,1,-1
ALON2,cb_intrinsic,brain,GNG,520.1,390.4,-1,-1,40,-1,-1,-1,12,-1,-1,-1,9,-1
ALON3,cb_intrinsic,brain,AL(R),605.6,269.9,-1,-1,-1,-1,7,-1,11,-1,-1,-1,1,-1
AMMC-A1,cb_intrinsic,brain,PVLP(L),517.2,373.5,-1,-1,-1,62,4,-1,-1,-1,2,-1,30,-1
AMMC001,cb_intrinsic,brain,SAD,434.3,248.7,63,-1,-1,-1,-1,-1,35,-1,61,-1,31,-1
AMMC002,cb_intrinsic,brain,SAD,642.3,362.5,-1,-1,-1,-1,-1,-1,16,-1,60,-1,29,-1
AMMC003,cb_intrinsic,brain,SAD,575.6,350.8,-1,-1,-1,-1,34,-1,15,-1,-1,-1,-1,37
AMMC004,cb_intrinsic,brain,SAD,578.2,385.7,56,-1,-1,55,47,-1,57,-1,-1,-1,-1,37
AMMC005,cb_intrinsic,brain,SAD,459.9,341.2,15,-1,63,-1,30,-1,-1,-1,-1,-1,45,-1
AMMC006,cb_intrinsic,brain,SAD,485.6,353.9,-1,-1,31,-1,26,-1,52,-1,61,-1,29,-1
AMMC007,cb_intrinsic,brain,SAD,424.5,314.0,69,-1,-1,55,25,-1,-1,-1,-1,-1,-1,-1
AMMC008,cb_intrinsic,brain,SAD,565.7,350.6,-1,-1,13,-1,34,-1,68,-1,-1,-1,29,-1
AMMC009,cb_intrinsic,brain,SAD,555.2,340.3,-1,-1,17,-1,-1,-1,9,-1,-1,-1,31,-1
AMMC010,cb_intrinsic,brain,SAD,561.2,390.4,27,-1,36,-1,-1,-1,-1,-1,-1,-1,26,-1
AMMC011,cb_intrinsic,brain,WED(L),359.2,327.3,-1,-1,9,-1,-1,-1,56,-1,-1,-1,30,-1
AMMC012,cb_intrinsic,brain,SAD,598.3,319.0,28,-1,10,-1,13,-1,32,-1,-1,-1,16,-1
AMMC013,cb_intrinsic,brain,SAD,442.4,313.4,-1,-1,10,-1,6,-1,13,-1,35,-1,2,-1
AMMC014,cb_intrinsic,brain,SAD,574.3,355.0,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1
AMMC015,cb_intrinsic,brain,SAD,361.8,324.9,-1,-1,11,-1,36,-1,15,-1,-1,-1,26,-1
AMMC016,cb_intrinsic,brain,SAD,537.1,378.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37
AMMC017,cb_intrinsic,brain,SAD,433.6,179.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1
AMMC018,cb_intrinsic,brain,SAD,676.5,347.3,-1,-1,-1,67,43,-1,35,-1,65,-1,31,-1
AMMC019,cb_intrinsic,brain,SAD,472.6,375.0,-1,-1,-1,55,18,-1,29,-1,-1,-1,31,-1
AMMC020,cb_intrinsic,brain,SAD,352.0,321.9,51,-1,61,56,39,-1,13,-1,-1,-1,31,-1
AMMC021,cb_intrinsic,brain,SAD,416.3,323.5,17,-1,-1,56,51,-1,13,-1,-1,-1,29,-1
AMMC022,cb_intrinsic,brain,SAD,550.2,361.3,59,-1,32,-1,24,-1,-1,-1,-1,-1,24,-1
AMMC023,cb_intrinsic,brain,SAD,442.0,321.9,25,-1,-1,-1,42,-1,-1,-1,-1,-1,23,-1
AMMC024,cb_intrinsic,brain,SAD,512.9,355.0,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,-1,37
AMMC025,cb_intrinsic,brain,SAD,464.9,381.9,25,-1,-1,-1,14,-1,13,-1,57,-1,-1,-1
AMMC026,cb_intrinsic,brain,SAD,509.5,365.5,57,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1
AMMC027,cb_intrinsic,brain,SAD,592.4,309.5,-1,-1,-1,-1,56,-1,27,-1,-1,-1,-1,-1
AMMC028,cb_intrinsic,brain,SAD,523.6,383.0,-1,-1,25,-1,15,-1,17,-1,-1,-1,23,-1
AMMC029,cb_intrinsic,brain,SAD,623.1,357.8,24,-1,-1,-1,63,-1,35,-1,41,-1,4,-1
AMMC030,cb_intrinsic,brain,SAD,579.9,361.9,-1,-1,54,-1,41,-1,-1,-1,-1,-1,32,-1
AMMC031,cb_intrinsic,brain,SAD,688.9,302.4,4,-1,32,-1,29,-1,-1,-1,-1,-1,29,-1
AMMC032,cb_intrinsic,brain,SAD,498.8,364.5,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,30,-1
AMMC033,cb_intrinsic,brain,SAD,464.5,335.2,-1,-1,-1,-1,36,-1,21,-1,-1,-1,30,-1
AMMC034_a,cb_intrinsic,brain,SAD,526.7,401.5,48,-1,51,-1,37,-1,55,-1,-1,-1,2,-1
AMMC034_b,cb_intrinsic,brain,SAD,531.1,349.8,51,-1,44,-1,-1,-1,67,-1,-1,-1,1,-1
AMMC035,cb_intrinsic,brain,SAD,444.6,366.9,9,-1,-1,-1,37,-1,-1,-1,-1,-1,27,-1
AMMC036,cb_intrinsic,brain,SAD,522.1,361.1,-1,-1,52,-1,60,-1,-1,-1,-1,-1,15,-1
AMMC037,cb_intrinsic,brain,SAD,582.9,348.4,14,-1,-1,-1,41,-1,15,-1,66,-1,31,-1
AMMC038,cb_intrinsic,brain,SAD,551.9,352.7,-1,-1,40,-1,23,-1,52,-1,-1,-1,25,-1
AN00A002,ascending_neuron,vnc,LTct,571.3,740.3,-1,-1,61,56,-1,-1,-1,-1,-1,-1,-1,37
AN00A006,ascending_neuron,vnc,ANm,552.4,778.1,-1,-1,4,-1,46,-1,1,-1,-1,-1,2,-1
AN00A009,ascending_neuron,vnc,GNG,443.5,425.1,-1,-1,-1,-1,60,-1,-1,-1,44,-1,48,-1
AN01A006,ascending_neuron,vnc,LegNp(T3)(L),482.6,770.7,63,-1,-1,-1,40,-1,59,-1,65,-1,16,-1
AN01A014,ascending_neuron,vnc,LegNp(T1)(L),669.8,784.5,-1,-1,38,-1,40,-1,5,-1,21,-1,5,-1
AN01A021,ascending_neuron,vnc,ANm,640.0,890.3,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,8,-1
AN01A033,ascending_neuron,brain,LTct,497.7,341.5,4,-1,33,-1,-1,-1,19,-1,-1,-1,18,-1
AN01A049,ascending_neuron,vnc,IntTct,524.9,407.1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1
AN01A055,ascending_neuron,brain,SAD,637.1,303.7,52,-1,7,-1,30,-1,5,-1,55,-1,3,-1
AN01A086,ascending_neuron,brain,SAD,483.6,355.6,43,-1,10,-1,-1,-1,33,-1,57,-1,2,-1
AN01A089,ascending_neuron,brain,GNG,543.5,405.9,15,-1,5,-1,8,-1,1,-1,26,-1,3,-1
AN01B002,ascending_neuron,vnc,ANm,511.0,877.1,-1,-1,4,-1,2,-1,18,-1,56,-1,1,-1
AN01B004,ascending_neuron,vnc,GNG,638.2,873.5,16,-1,7,-1,14,-1,4,-1,-1,-1,1,-1
AN01B005,ascending_neuron,vnc,LegNp(T3)(L),566.7,851.9,-1,-1,9,-1,25,-1,6,-1,37,-1,4,-1
AN01B011,ascending_neuron,vnc,LegNp(T2)(L),529.4,394.4,29,-1,26,-1,36,-1,5,-1,-1,-1,10,-1
AN01B014,ascending_neuron,vnc,LegNp(T1)(L),304.1,243.5,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,19,-1
AN01B018,ascending_neuron,brain,GNG,401.5,271.1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,18,-1
AN02A001,ascending_neuron,vnc,LTct,465.8,686.6,-1,-1,2,-1,8,-1,1,-1,34,-1,1,-1
AN02A002,ascending_neuron,vnc,LTct,443.6,221.0,53,-1,2,-1,10,-1,1,-1,-1,-1,1,-1
AN02A005,ascending_neuron,brain,GNG,501.5,780.4,6,-1,14,-1,-1,-1,14,-1,-1,-1,22,-1
AN02A009,ascending_neuron,brain,GNG,466.7,387.4,41,-1,23,-1,-1,-1,-1,24,-1,-1,31,-1
AN02A016,ascending_neuron,vnc,LTct,549.0,774.2,-1,-1,34,-1,-1,-1,18,-1,64,-1,6,-1
AN02A017,ascending_neuron,brain,GNG,441.9,427.8,-1,-1,17,-1,-1,-1,21,-1,-1,-1,22,-1
AN02A022,ascending_neuron,vnc,HTct(UTct-T3)(L),484.5,746.0,-1,-1,-1,-1,67,-1,17,-1,-1,-1,14,-1
AN02A025,ascending_neuron,brain,GNG,517.4,406.2,7,-1,69,-1,-1,-1,18,-1,-1,-1,13,-1
AN02A046,ascending_neuron,brain,GNG,486.4,400.2,49,-1,-1,-1,-1,-1,18,-1,-1,-1,15,-1
AN03A002,ascending_neuron,vnc,LegNp(T1)(L),649.6,713.7,-1,-1,12,-1,48,-1,26,-1,46,-1,8,-1
AN03A008,ascending_neuron,brain,LegNp(T1)(L),638.6,96.9,22,-1,14,-1,-1,-1,9,-1,-1,-1,5,-1
AN03B009,ascending_neuron,vnc,LTct,602.3,768.2,4,-1,16,-1,21,-1,21,-1,-1,-1,6,-1
AN03B011,ascending_neuron,vnc,LTct,451.0,886.3,37,-1,5,-1,49,-1,1,-1,-1,-1,2,-1
AN03B039,ascending_neuron,vnc,IntTct,503.1,740.7,-1,-1,40,-1,34,-1,22,-1,-1,-1,17,-1
AN03B050,ascending_neuron,vnc,ANm,489.3,737.1,-1,-1,64,-1,-1,-1,19,-1,-1,-1,6,-1
AN03B094,ascending_neuron,vnc,LegNp(T1)(R),599.3,739.9,21,-1,50,-1,-1,-1,21,-1,-1,-1,14,-1
AN03B095,ascending_neuron,vnc,GNG,586.6,665.9,28,-1,44,-1,-1,-1,13,-1,8,-1,34,-1
AN04A001,ascending_neuron,vnc,LTct,459.2,879.9,-1,-1,3,-1,4,-1,2,-1,21,-1,1,-1
AN04B001,ascending_neuron,vnc,LegNp(T2)(L),476.6,797.5,22,-1,4,-1,-1,58,4,-1,-1,-1,3,-1
AN04B003,ascending_neuron,vnc,LegNp(T2)(L),448.7,718.7,-1,-1,3,-1,44,-1,1,-1,-1,-1,2,-1
AN04B004,ascending_neuron,vnc,LegNp(T2)(L),572.0,438.0,-1,-1,30,-1,34,-1,3,-1,46,-1,10,-1
AN04B023,ascending_neuron,brain,SPS(L),606.0,316.1,-1,-1,6,-1,35,-1,2,-1,-1,-1,2,-1
AN04B051,ascending_neuron,brain,VES(R),575.2,258.7,61,-1,-1,-1,-1,-1,20,-1,-1,-1,14,-1
AN05B004,ascending_neuron,vnc,ANm,457.3,435.6,-1,-1,22,-1,3,-1,8,-1,67,-1,1,-1
AN05B005,ascending_neuron,vnc,ANm,590.9,799.3,-1,-1,9,-1,5,-1,26,-1,-1,-1,18,-1
AN05B006,ascending_neuron,vnc,LTct,539.9,455.9,21,-1,4,-1,4,-1,6,-1,61,-1,1,-1
AN05B007,ascending_neuron,vnc,GNG,515.9,767.6,38,-1,29,-1,57,-1,19,-1,-1,-1,8,-1
AN05B009,ascending_neuron,vnc,GNG,583.9,399.3,25,-1,3,-1,2,-1,19,-1,-1,-1,1,-1
