cell_type,brain_synapses,vnc_synapses,brain_share,compartment
5-HTPLP01,18207,0,1.0000,brain
5-HTPMPD01,11411,0,1.0000,brain
5-HTPMPV01,15085,0,1.0000,brain
5-HTPMPV03,53844,0,1.0000,brain
5thsLNv_LNd6,9634,0,1.0000,brain
ADNM1 MN,0,14622,0.0000,vnc
ADNM2 MN,0,4285,0.0000,vnc
AL-AST1,29478,0,1.0000,brain
AL-MBDL1,18622,0,1.0000,brain
ALBN1,25120,0,1.0000,brain
ALIN1,12763,0,1.0000,brain
ALIN2,15416,0,1.0000,brain
ALIN3,6644,0,1.0000,brain
ALIN4,10953,0,1.0000,brain
ALIN5,10319,0,1.0000,brain
ALIN6,6541,0,1.0000,brain
ALIN7,9406,0,1.0000,brain
ALIN8,2294,0,1.0000,brain
ALON1,3929,0,1.0000,brain
ALON2,2889,0,1.0000,brain
ALON3,19316,0,1.0000,brain
AMMC-A1,50298,0,1.0000,brain
AMMC001,1672,0,1.0000,brain
AMMC002,4175,0,1.0000,brain
AMMC003,7527,0,1.0000,brain
AMMC004,6873,0,1.0000,brain
AMMC005,7207,0,1.0000,brain
AMMC006,7640,0,1.0000,brain
AMMC007,5662,0,1.0000,brain
AMMC008,7657,0,1.0000,brain
AMMC009,5782,0,1.0000,brain
AMMC010,5276,0,1.0000,brain
AMMC011,6824,0,1.0000,brain
AMMC012,14138,0,1.0000,brain
AMMC013,20104,0,1.0000,brain
AMMC014,5065,0,1.0000,brain
AMMC015,9710,0,1.0000,brain
AMMC016,2629,0,1.0000,brain
AMMC017,3161,0,1.0000,brain
AMMC018,5967,0,1.0000,brain
AMMC019,9675,0,1.0000,brain
AMMC020,9127,0,1.0000,brain
AMMC021,6233,0,1.0000,brain
AMMC022,8455,0,1.0000,brain
AMMC023,4731,0,1.0000,brain
AMMC024,3106,0,1.0000,brain
AMMC025,11809,0,1.0000,brain
AMMC026,14933,0,1.0000,brain
AMMC027,4727,0,1.0000,brain
AMMC028,9058,0,1.0000,brain
AMMC029,3644,0,1.0000,brain
AMMC030,4734,0,1.0000,brain
AMMC031,6341,0,1.0000,brain
AMMC032,5560,0,1.0000,brain
AMMC033,4973,0,1.0000,brain
AMMC034_a,6590,0,1.0000,brain
AMMC034_b,4020,0,1.0000,brain
AMMC035,7972,0,1.0000,brain
AMMC036,7613,0,1.0000,brain
AMMC037,3748,0,1.0000,brain
AMMC038,6877,0,1.0000,brain
AN00A002,1241,6371,0.1630,vnc
AN00A006,9724,16519,0.3705,vnc
AN00A009,1660,2366,0.4123,vnc
AN01A006,1083,10137,0.0965,vnc
AN01A014,1302,8603,0.1314,vnc
AN01A021,1006,13720,0.0683,vnc
AN01A033,3967,3052,0.5652,brain
AN01A049,1277,1278,0.4998,vnc
AN01A055,15960,7,0.9996,brain
AN01A086,7740,20,0.9974,brain
AN01A089,22835,11,0.9995,brain
AN01B002,15708,73589,0.1759,vnc
AN01B004,4093,15216,0.2120,vnc
AN01B005,3471,15801,0.1801,vnc
AN01B011,2247,5955,0.2740,vnc
AN01B014,957,1162,0.4516,vnc
AN01B018,1142,409,0.7363,brain
AN02A001,7756,24709,0.2389,vnc
AN02A002,17375,18013,0.4910,vnc
AN02A005,2302,1727,0.5714,brain
AN02A009,3076,1673,0.6477,brain
AN02A016,1568,3430,0.3137,vnc
AN02A017,3273,1270,0.7204,brain
AN02A022,462,1438,0.2432,vnc
AN02A025,1491,967,0.6066,brain
AN02A046,705,452,0.6093,brain
AN03A002,2022,9391,0.1772,vnc
AN03A008,5693,3004,0.6546,brain
AN03B009,747,14746,0.0482,vnc
AN03B011,1636,21811,0.0698,vnc
AN03B039,909,7585,0.1070,vnc
AN03B050,1098,2557,0.3004,vnc
AN03B094,1424,1578,0.4744,vnc
AN03B095,751,1417,0.3464,vnc
AN04A001,1491,46480,0.0311,vnc
AN04B001,3744,40489,0.0846,vnc
AN04B003,8399,14570,0.3657,vnc
AN04B004,789,14356,0.0521,vnc
AN04B023,8088,5886,0.5788,brain
AN04B051,2143,1103,0.6602,brain
AN05B004,7938,31047,0.2036,vnc
AN05B005,2156,33196,0.0610,vnc
AN05B006,4473,33958,0.1164,vnc
AN05B007,3134,6465,0.3265,vnc
AN05B009,13675,59146,0.1878,vnc
AN05B010,1328,7597,0.1488,vnc
AN05B015,731,6178,0.1058,vnc
AN05B017,1748,4423,0.2833,vnc
AN05B021,2383,9325,0.2035,vnc
AN05B023a,3908,14507,0.2122,vnc
AN05B023b,67,20449,0.0033,vnc
AN05B023c,2529,12347,0.1700,vnc
AN05B023d,3857,19210,0.1672,vnc
AN05B024,590,3018,0.1635,vnc
AN05B025,3224,6879,0.3191,vnc
AN05B026,944,1030,0.4782,vnc
AN05B027,861,3712,0.1883,vnc
AN05B029,2607,4648,0.3593,vnc
AN05B035,4298,8083,0.3471,vnc
AN05B036,800,6961,0.1031,vnc
AN05B040,2349,3466,0.4040,vnc
AN05B044,1072,839,0.5610,brain
AN05B045,567,2823,0.1673,vnc
AN05B046,1408,3019,0.3180,vnc
AN05B048,180,2375,0.0705,vnc
AN05B049_a,508,2143,0.1916,vnc
AN05B049_b,410,2839,0.1262,vnc
AN05B049_c,645,1299,0.3318,vnc
AN05B050_a,345,2191,0.1360,vnc
AN05B050_b,722,1804,0.2858,vnc
AN05B050_c,1496,3976,0.2734,vnc
AN05B052,1465,3232,0.3119,vnc
AN05B053,1945,19608,0.0902,vnc
AN05B054_a,647,3833,0.1444,vnc
AN05B054_b,661,3962,0.1430,vnc
AN05B056,666,2829,0.1906,vnc
AN05B058,1183,4373,0.2129,vnc
AN05B059,415,1270,0.2463,vnc
AN05B060,129,556,0.1883,vnc
AN05B062,1689,4944,0.2546,vnc
